# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0526.1-4830 81.542 -48.5028 14.8 4.2554e-12 3.2092 4.2554e-12 3.2092 0.000759 1.300
J0528.6-5920 82.1619 -59.3486 16.0 2.1879e-12 3.2120 2.1879e-12 3.2120 0.000757 1.130
J0532.7+0732 83.1844 7.537 15.2 9.0206e-12 3.2086 9.0206e-12 3.2086 0.000760 1.254
J0532.8-8326 83.2152 -83.4362 19.4 9.3053e-13 3.1063 9.3053e-13 3.1063 0.001446 0.774
J0533.3+4822 83.3428 48.3727 14.0 5.4028e-12 3.2090 5.4028e-12 3.2090 0.000759 1.160
J0537.8-5718 84.4648 -57.3012 18.5 9.5819e-13 2.4147 9.5819e-13 2.4147 0.002767 1.180
J0538.8-4405 84.7041 -44.0914 14.9 7.2532e-11 3.1986 7.2532e-11 3.1986 0.000761 0.892
J0543.9-5532 85.9833 -55.5385 25.1 4.7805e-12 1.9861 4.7805e-12 1.9861 0.000382 0.273
J0558.1-3838 89.5388 -38.643 19.9 1.8192e-12 3.2091 1.8192e-12 3.2091 0.000759 0.302
J0601.2-7035 90.3012 -70.5935 14.4 3.2291e-12 3.2094 3.2291e-12 3.2094 0.000759 2.409
J0602.0+5316 90.5012 53.2801 21.7 1.5747e-12 3.1053 1.5747e-12 3.1053 0.001446 0.052
J0606.3-4730 91.596 -47.5088 16.1 1.4899e-12 2.4147 1.4899e-12 2.4147 0.002766 0.037
J0608.3-0832 92.0858 -8.53801 14.5 3.0283e-12 3.2094 3.0283e-12 3.2094 0.000759 0.870
J0617.6-1715 94.4162 -17.2589 17.2 4.5371e-12 3.2083 4.5371e-12 3.2083 0.000760 0.098
J0622.4-2606 95.6069 -26.1125 24.1 3.3345e-12 2.4150 3.3345e-12 2.4150 0.002760 0.414
J0622.9+3326 95.7364 33.4395 20.3 4.3531e-12 2.4148 4.3531e-12 2.4148 0.002763 1.062
J0627.1-3528 96.777 -35.4808 25.8 2.4838e-12 2.4115 2.4838e-12 2.4115 0.002743 0.055
J0629.3-1958 97.3373 -19.9763 15.2 8.1970e-12 3.2088 8.1970e-12 3.2088 0.000760 1.724
J0630.9-2406 97.74 -24.1118 16.6 2.1146e-11 3.2063 2.1146e-11 3.2063 0.000760 1.238
J0648.7+1517 102.187 15.2842 33.1 2.6238e-12 1.7401 2.6238e-12 1.7401 0.001137 0.179
J0650.7+2503 102.698 25.0576 22.6 7.1264e-12 2.4146 7.1264e-12 2.4146 0.002755 0.203
J0654.3+5042 103.599 50.706 14.9 4.1232e-12 3.2091 4.1232e-12 3.2091 0.000759 1.253
J0656.2+4235 104.059 42.5956 31.2 3.3662e-13 1.6845 3.3662e-13 1.6845 0.002436 0.059
J0709.7-0255 107.448 -2.93104 17.3 4.2690e-12 3.2089 4.2690e-12 3.2089 0.000760 1.472
J0710.4+5908 107.624 59.1418 22.4 1.4626e-12 2.4147 1.4626e-12 2.4147 0.002762 0.125
J0712.7+5032 108.186 50.5453 22.8 1.2549e-12 3.1059 1.2549e-12 3.1059 0.001445 0.502
J0719.4+3307 109.854 33.1296 16.4 6.1669e-12 3.2085 6.1669e-12 3.2085 0.000760 0.779
J0721.8+7120 110.474 71.342 16.1 6.1102e-11 3.1718 6.1102e-11 3.1718 0.000779 0.127
J0725.2+1425 111.316 14.4244 15.4 9.9995e-12 3.2083 9.9995e-12 3.2083 0.000760 1.038
J0725.8-0056 111.462 -0.940938 23.4 1.5979e-12 2.4147 1.5979e-12 2.4147 0.002765 0.128
J0730.3-1141 112.576 -11.6886 15.6 2.2924e-11 3.2070 2.2924e-11 3.2070 0.000760 1.589
J0730.4+3307 112.608 33.1202 23.5 7.5116e-13 2.4146 7.5116e-13 2.4146 0.002766 0.112
J0738.1+1742 114.533 17.713 18.4 1.6451e-11 3.2035 1.6451e-11 3.2035 0.000760 0.424
J0739.3+0137 114.831 1.62821 18.2 2.9489e-12 3.2089 2.9489e-12 3.2089 0.000760 0.189
J0742.5+5444 115.647 54.7353 17.3 3.0322e-12 3.2089 3.0322e-12 3.2089 0.000760 0.723
J0744.1+7435 116.031 74.5902 25.6 1.1272e-12 2.4146 1.1272e-12 2.4146 0.002763 0.314
J0753.1+5354 118.286 53.9075 18.7 1.8305e-12 3.2089 1.8305e-12 3.2089 0.000760 0.200
J0754.8+4822 118.709 48.3819 19.6 2.0208e-12 2.4147 2.0208e-12 2.4147 0.002765 0.377
J0757.1+0957 119.289 9.96569 28.9 1.1133e-12 1.9872 1.1133e-12 1.9872 0.003256 0.266
